1,Bagerhat,52
2,Bandarban ,62
3,Barguna ,34
4,Barisal,17
5,B. Baria,32
6,Bhola,53
7,Bogra,9
8,Chandpur,8
9,Chapainawabganj,15
10,Chittagong,2
11,Chuadanga,61
12,Cox's Bazar,11
13,Cumilla,5
14,Dhaka,1
15,Dinajpur,35
16,Faridpur,18
17,Feni,6
18,Gaibandha,38
19,Gazipur,22
20,Gopalgonj ,56
21,Habiganj,30
22,Jamalpur,41
23,Jashore,19
24,Jhalokathi,27
25,Jhenidah,49
26,Joypurhat,48
27,Khagrachari,63
28,Khulna,20
29,Kishoreganj,42
30,Kurigram ,55
31,Kushtia,28
32,Lakshmipur,40
33,Lalmonirhat ,57
34,Madaripur,43
35,Magura ,60
36,Manikganj,16
37,Meherpur,50
38,Moulvibazar,12
39,Munsiganj,23
40,Mymensingh,26
41,Naogaon,46
42,Narail ,54
43,Narayanganj,21
44,Narshingdi,47
45,Natore,14
46,Netrakona,44
47,Nilphamari,39
48,Noakhali,7
49,Pabna,24
50,Panchagarh,37
51,Patuakhali,29
52,Pirojpur,31
53,Rajbari ,58
54,Rajshahi,4
55,Rangamati ,59
56,Rangpur,25
57,Satkhira,51
58,Shariatpur ,64
59,Sherpur,33
60,Sirajganj,10
61,Sunamganj,45
62,Sylhet,3
63,Tangail,13
64,Thakurgaon ,36
