1,Bagerhat Sadar,1,156
2,Chitalmari,1,594
3,Fakirhat,1,595
4,Kachua ,1,596
5,Mollahat ,1,593
6,Mongla,1,868
7,Morelganj,1,597
8,Rampal,1,598
9,Rayenda,1,599
10,Sarankhola,1,984
11,Alikadam,2,714
12,Bandarban Sadar,2,166
13,Kalaghata,2,692
14,Lama,2,696
15,Naikhong,2,1008
16,Roanchhari ,2,693
17,Ruma,2,694
18,Thanchi,2,695
19,Amtoly,3,931
20,Bamna,3,933
21,Barguna Sadar,3,135
22,Betage,3,932
23,Pathor ghata,3,934
24,Taltoly,3,930
25,Agailzhara,4,911
26,Babuganj,4,916
27,Bakergonj,4,915
28,Banaripara,4,914
29,Barisal Bandor Thana,4,1014
30,Barisal Sadar,4,113
31,Gauronodi,4,910
32,Hizla ,4,912
33,Kotowali,4,909
34,Mahendiganj,4,607
35,Muladi,4,913
36,Wazirpur Powrosova,4,917
37,Akhaura,5,546
38,Asugonj,5,728
39,Banchharampur ,5,133
40,Bijoynagar,5,748
41,Brahamanbaria Sadar,5,547
42,Kasba,5,548
43,Nabinagar,5,549
44,Nasirnagar,5,551
45,Sarail,5,550
46,Bhola Sadar,6,157
47,Burhanuddin ,6,900
48,Char fashion ,6,903
49,Dokkhin aicha,6,904
50,Doulatkhan,6,899
51,Lalmohon,6,901
52,Tazumuddin ,6,902
53,Adamdighi,7,753
54,Bogra - Gabtoli,7,480
55,Bogra Sadar,7,104
56,Dhunat,7,756
57,Dupchachia,7,719
58,Kahalu,7,479
59,Nandigram,7,754
60,Sariakandi,7,752
61,Shajahanpur ,7,751
62,Shantaher,7,757
63,Sherpur,7,478
64,Shibganj,7,481
65,Sonatola,7,755
66,Chandpur Sadar,8,102
67,Faridganj,8,563
68,Hayemchar,8,565
69,Haziganj,8,564
70,Kachua,8,566
71,Matlab,8,667
72,Matlab-Uttar,8,749
73,Shahrasti,8,567
74,Bholahat,9,558
75,Chapainawabganj Sadar,9,111
76,Gomastapur,9,508
77,Nachole,9,559
78,Shibganj ,9,509
79,Akbarsha,10,78
80,Anawara,10,434
81,Andarkilla,10,69
82,Anowara,10,453
83,Bakoliya thana,10,83
84,Bashkhali ,10,459
85,Bayazid,10,80
86,Boalkhali,10,681
87,Bondor,10,1027
88,Chandanaish ,10,1015
89,Chandgaon,10,375
90,Chawkbazar (Chattogram),10,79
91,CTG - Lohagara ,10,460
92,Dohajari,10,1032
93,Double mooring,10,86
94,East Joara,10,400
95,Enayet bazar,10,405
96,EPZ,10,73
97,Fatikchhari,10,417
98,Halishahar,10,75
99,Hathazari ,10,81
100,Karnophuli,10,993
101,Keranihat,10,716
102, Khulshi ,10,84
103,Kotowali Chittagong,10,364
104,Kotwali (Chattogram),10,987
105,Mirsharai,10,87
106,Nasirabad,10,685
107,Nazirhat,10,703
108,New Market CTG,10,72
109,Pahartali,10,986
110,Panchlaish ctg,10,333
111,Patia,10,457
112,Rangunia,10,378
113,Raozan,10,68
114,Sadarghat (Chattogram),10,365
115,Sandwip,10,705
116,Satkaniya,10,371
117,Sitakunda,10,420
118,Vatiary,10,1026
119,Zorarganj,10,730
120,Alamdanga,11,647
121,Chuadanga Sadar,11,165
122,Damurhuda,11,591
123,Darshana,11,968
124,Doulatganj,11,592
125,Jiban nagar,11,646
126,Chakaria,12,107
127,Cox's bazar Sadar,12,106
128,Eidgah,12,898
129,Kutubdia,12,638
130,Moheshkhali,12,896
131,Pakua,12,560
132,Ramu,12,561
133,Teknaf,12,897
134,Ukhia,12,562
135,Barura,13,534
136,B.Para,13,91
137,Burichang,13,92
138,Cantonment,13,741
139,Chandina,13,98
140,Chauddagram,13,97
141,Comilla Companigonj,13,732
142,Cumilla Sadar,13,93
143,Daudkandi,13,545
144,Devidwar,13,99
145,Eliotgonj,13,736
146,Gouripur,13,737
147,Homna,13,96
148,Kotbari,13,731
149,Laksam,13,94
150,Lalmai,13,735
151,Megna,13,740
152,Mia-Bazar,13,552
153,Monohorgonj,13,733
154,Muddafarganj,13,103
155,Muradnagar,13,553
156,Nangolkot,13,95
157,Sadar Dakkhin,13,734
158,South Daudkandi,13,738
159,Titash,13,739
160,60 feet,14,298
161,Abdullahpur Uttara,14,1070
162,Abul Hotel ,14,1066
163,Adabor,14,52
164,Adarsha Nagar - Kutubpur ,14,1094
165,Aftab Nagar,14,300
166,Agargaon,14,17
167,Agargaon-Taltola,14,1108
168,Arambag,14,317
169,Ashkona,14,965
170,Ati Bazar,14,1078
171,azampur (Uttara),14,1041
172,Azimpur (Lalbag),14,55
173,Badda,14,30
174,Baily Road,14,312
175,Bakshi Bazar,14,274
176,Balughat,14,292
177,Banani,14,1
178,Banani DOHS,14,181
179,Banasree (Road A-G),14,24
180,Banasree (Road H-J),14,1058
181,Bangla bazar,14,40
182,Bangshal,14,250
183,Baridhara Diplomatic Zone,14,958
184,Baridhara DOHS,14,959
185,Baridhara J Block,14,960
186,Bashabo ,14,303
187,Bashundhara ,14,6
188,Bawnia,14,176
189,Benaroshi Polli,14,1132
190,Beraid,14,981
191,Boro Moghbazar,14,964
192,Central Road,14,972
193,ChawkBazar (Dhaka),14,630
194,Dakshinkhan,14,15
195,Darussalam,14,287
196,Demra,14,245
197,Dhaka cantonment,14,342
198,Dhaka Medical,14,1056
199,Dhaka University,14,200
200," Dhamrai , Savar",14,1016
201,Dhanmondi,14,62
202,Dholpur,14,979
203,Diabari,14,1045
204,DIT Road,14,966
205,Dohar,14,1075
206,ECB,14,23
207,Elephant Road,14,967
208,Equria Thana,14,1079
